-55.61,10.27,26.11,29
-55.39,10.51,26.28,28
-55.11,10.59,26.40,28
-54.86,10.85,26.63,28
-54.62,11.56,26.98,26
-54.51,12.07,27.10,25
-54.26,12.57,27.13,28
-54.11,13.07,27.26,29
-54.08,13.50,27.53,22
-54.04,13.82,27.67,20
-54.01,14.06,27.72,26
-53.87,14.42,27.59,27
-53.61,14.85,27.48,28
-53.44,15.15,27.38,23
-53.25,15.53,27.26,29
-53.09,15.82,27.24,30
-52.99,16.08,27.39,24
-53.00,16.07,27.49,22
-52.32,16.35,27.19,19
-51.45,16.57,26.62,16
-50.34,16.72,26.15,14
-49.59,16.97,26.21,15
-48.97,17.34,26.64,16
-47.83,17.85,28.45,19
-44.73,18.38,27.51,21
-41.73,18.58,26.27,28
-38.00,19.11,23.38,45
-33.74,20.22,22.74,51
-30.23,20.37,23.71,70
-26.97,19.85,24.63,88
-23.64,19.87,23.02,122
-18.36,21.77,23.71,120
-13.71,23.99,26.20,134
-11.41,23.85,28.81,170
-8.67,23.46,32.73,198
-5.39,25.33,36.98,190
-2.32,26.52,40.72,197
2.51,27.46,41.82,180
7.39,27.67,41.67,184
10.17,27.23,42.62,184
11.82,28.11,44.56,256
14.31,30.32,44.59,259
15.64,31.42,44.81,264
17.13,32.25,45.13,275
19.93,32.46,44.35,289
21.84,33.36,44.02,240
22.48,34.48,43.98,228
23.63,35.96,43.87,269
23.86,36.49,44.29,240
25.03,37.02,44.59,215
26.63,37.31,43.69,210
28.61,36.80,42.50,229
29.71,36.97,41.57,207
30.05,37.75,41.16,231
29.83,39.01,41.55,234
30.26,38.88,40.90,255
31.96,38.64,39.85,224
33.04,38.24,38.94,209
33.46,38.40,38.78,281
33.04,39.63,39.63,267
33.09,39.29,39.71,311
34.58,38.84,39.19,327
35.95,38.31,37.92,294
35.84,38.10,37.40,327
36.21,38.61,37.10,328
35.59,38.87,37.65,358
35.53,39.39,38.46,369
37.11,38.13,36.97,323
38.46,37.61,36.07,328
38.71,36.36,35.66,312
38.35,38.12,36.40,284
37.66,37.69,37.03,299
38.22,37.28,37.44,336
40.06,35.51,35.59,298
40.65,34.55,34.91,328
40.64,34.61,33.37,369
39.61,35.14,33.54,359
38.32,34.32,34.59,340
39.50,34.22,34.75,353
41.20,33.34,32.97,307
41.24,32.29,31.44,286
40.20,32.42,30.81,388
38.19,32.50,32.13,447
38.19,32.96,32.87,454
39.81,32.85,32.47,491
41.27,31.64,30.44,412
40.56,30.46,29.39,420
39.46,28.78,29.04,399
38.12,30.76,30.72,355
38.26,30.92,30.94,372
40.79,29.86,29.13,364
41.40,28.78,28.05,350
40.20,26.27,27.01,380
39.66,29.00,28.12,431
38.30,27.34,29.42,420
38.95,26.37,29.61,390
41.10,24.64,27.50,352
41.13,24.37,27.32,331
40.50,24.58,25.43,335
38.66,25.22,26.08,338
37.21,23.86,26.83,343
38.62,25.00,27.16,353
40.29,23.62,24.91,314
40.57,23.67,23.68,285
39.28,22.94,22.40,329
37.64,23.38,23.54,290
37.02,23.87,24.51,255
37.98,24.14,24.28,240
39.58,23.38,23.13,245
39.94,23.13,21.99,220
39.04,22.47,20.97,259
38.25,21.83,20.34,263
36.71,22.51,21.10,289
35.61,23.68,21.67,251
35.67,24.38,21.52,238
36.95,24.29,19.66,195
37.29,23.57,17.72,158
36.76,22.49,15.38,137
35.64,21.36,12.39,136
33.07,20.46,10.42,123
29.50,19.33,9.24,105
25.63,18.83,8.57,90
22.68,18.54,7.78,81
20.63,17.29,6.28,72
19.00,16.28,5.33,67
16.30,15.11,4.98,68
13.12,14.02,5.05,68
10.04,13.50,5.77,56
6.81,13.64,7.74,45
2.89,16.48,12.53,41
-0.79,19.77,16.03,38
-3.83,21.13,18.00,31
-6.06,20.92,17.62,30
-7.78,20.59,17.64,29
-9.73,22.63,20.39,22
-12.99,27.30,23.54,21
-16.22,29.50,26.74,22
-20.24,31.17,29.79,22
-23.20,32.44,31.52,20
-23.93,32.99,31.89,23
-24.59,33.32,33.88,20
-25.83,33.94,34.75,18
-26.03,35.29,32.35,11
-24.05,36.92,28.84,7
-20.24,38.60,25.16,13
-17.46,39.39,21.71,15
-16.72,39.77,21.56,10
-17.49,39.31,21.31,8
-18.49,37.53,17.98,4
-21.29,34.01,17.59,12
-25.20,32.53,17.44,7
-28.85,34.58,18.20,6
-32.00,36.14,18.86,3
-34.37,37.09,19.66,3
-36.13,37.91,21.41,1
-37.49,38.50,22.26,0
-38.43,39.17,21.61,0
-38.65,40.94,21.44,0
-39.38,42.65,21.65,0
-40.29,42.98,21.78,0
-40.34,43.08,21.59,0
-40.03,43.11,22.20,0
-39.92,43.74,23.72,0
-39.65,44.85,23.07,1
-38.85,45.61,21.60,0
-37.50,45.72,19.62,0
-36.09,45.54,18.93,0
-34.44,45.26,17.47,0
-32.63,45.49,15.52,0
-31.22,45.85,15.33,1
-32.01,45.30,15.76,11
-35.01,44.25,18.45,8
-37.15,44.05,19.37,10
-36.58,44.10,17.13,12
-35.18,43.85,13.34,13
-34.69,43.52,12.17,12
-35.59,43.84,12.78,18
-37.91,44.93,13.97,15
-40.45,46.24,14.96,13
-42.51,47.97,15.98,15
-43.17,49.67,15.66,13
-42.93,50.86,14.06,10
-42.44,51.61,12.80,17
-42.58,52.78,11.84,17
-42.71,53.82,12.14,11
-42.47,53.59,13.09,5
-40.10,54.52,10.84,4
-36.89,54.59,9.83,2
-33.81,52.94,6.98,0
-31.63,50.31,7.05,4
-29.95,47.28,7.98,5
-27.76,43.56,7.42,5
-24.39,38.23,4.14,8
-20.86,36.74,2.00,6
-19.49,38.45,3.38,9
-19.25,40.16,3.63,7
-17.89,41.05,2.37,7
-16.24,41.13,1.02,8
-15.25,40.93,0.83,10
-14.99,40.64,1.48,8
-14.90,39.92,1.48,8
-14.92,39.21,1.77,8
-14.87,38.79,2.00,8
-14.51,38.29,2.09,11
-14.20,37.76,2.69,15
-14.17,37.06,3.65,12
-14.39,36.11,5.11,10
-14.72,35.14,5.89,10
-14.76,34.65,6.76,10
-14.73,34.27,8.35,8
-15.06,33.74,9.57,8
-15.62,33.15,11.25,7
-16.52,32.41,13.33,7
-17.35,31.99,15.19,8
-17.92,31.75,16.16,2
-18.27,31.50,16.95,7
-18.65,31.07,17.57,5
-19.21,30.59,18.44,4
-19.75,30.36,19.21,1
-20.07,30.44,19.91,6
-20.27,30.56,20.41,4
-20.60,30.34,20.56,1
-20.92,29.81,20.74,4
-21.43,29.49,20.91,5
-21.94,29.35,21.44,6
-22.53,29.02,21.54,5
-23.13,28.55,21.87,5
-23.52,28.36,22.27,1
-23.57,28.16,22.35,0
-23.56,27.67,22.53,0
-23.43,27.02,22.57,0
-23.33,26.64,22.68,0
-23.42,26.41,22.98,0
-23.83,26.05,23.18,0
-24.55,25.70,23.92,1
-25.24,25.61,24.52,4
-25.62,26.07,25.86,7
-25.76,27.00,26.52,3
-25.32,27.32,27.11,2
-24.83,26.95,28.10,4
-23.99,26.58,29.20,13
-22.43,27.07,30.66,15
-19.88,27.87,33.33,10
-17.07,27.92,34.78,14
-14.38,26.93,36.20,17
-11.61,25.52,35.75,18
-9.29,24.24,34.72,26
-6.33,23.59,32.67,43
-1.36,25.34,28.59,48
3.80,28.24,24.81,49
8.49,31.29,24.22,60
10.34,34.92,26.67,82
11.79,39.44,27.10,92
14.12,42.70,25.91,99
16.45,45.21,25.13,108
18.27,47.39,24.63,144
19.42,49.45,24.09,141
20.78,50.77,22.30,231
21.73,52.53,21.36,237
22.24,53.94,20.87,224
22.89,54.44,20.32,225
23.94,54.81,19.67,234
25.62,56.27,18.38,233
26.32,57.45,17.06,228
26.49,56.55,15.41,288
25.94,57.20,15.89,278
25.94,56.51,15.95,276
26.33,57.12,16.71,278
27.27,57.31,15.92,269
28.11,55.66,15.14,280
28.57,53.54,13.88,280
28.58,52.23,13.91,283
27.22,55.31,15.96,285
26.85,52.91,17.08,292
28.56,50.65,15.25,310
30.72,47.88,12.71,289
30.85,48.33,13.23,297
28.93,50.60,14.83,299
28.43,47.82,15.31,326
29.53,45.15,14.39,316
31.06,44.96,13.37,298
30.56,46.55,14.45,325
30.43,44.94,12.42,302
30.36,44.65,12.22,465
29.48,44.57,13.94,501
29.21,46.20,15.24,427
30.43,45.55,14.13,412
31.50,43.83,12.35,375
31.68,41.97,11.36,475
30.73,44.46,13.11,573
29.16,43.38,16.23,520
30.50,40.78,15.22,487
33.17,39.13,11.56,435
32.89,39.44,11.77,453
30.84,39.61,11.04,443
28.86,37.69,12.74,413
29.25,36.10,12.48,426
30.96,37.46,12.98,388
31.69,36.74,10.89,394
30.65,35.73,10.32,424
29.22,35.06,10.22,420
27.77,36.46,12.75,512
28.23,35.02,13.80,527
30.66,33.19,10.88,459
31.08,32.54,10.34,415
30.17,31.17,9.14,471
28.11,34.16,11.36,557
26.91,32.11,13.99,507
29.06,29.09,12.62,476
31.10,29.14,10.44,436
29.88,29.79,10.86,445
27.89,29.68,9.81,518
26.40,30.03,11.26,450
26.99,29.16,10.66,377
28.23,30.79,10.90,347
28.37,30.77,9.87,326
28.04,29.91,7.83,296
26.73,30.44,7.14,281
24.36,27.48,8.59,250
22.95,25.15,8.52,230
22.85,24.80,9.14,200
22.16,25.14,9.85,203
22.03,24.36,9.24,193
22.18,24.05,7.90,181
20.79,23.70,7.22,150
18.59,21.82,6.59,129
15.99,20.01,7.00,118
13.94,17.86,7.11,101
12.94,15.30,6.71,90
11.61,12.86,7.60,90
9.72,10.97,8.48,80
7.63,8.33,8.78,69
6.16,5.49,8.68,64
4.73,2.52,8.33,63
2.83,-0.39,8.46,58
0.21,-2.58,9.04,54
-2.80,-4.71,10.47,52
-6.57,-6.34,13.21,50
-10.59,-7.58,15.51,44
-14.69,-8.54,17.52,43
-18.70,-9.47,18.02,42
-21.32,-10.83,17.09,35
-23.37,-12.67,16.25,38
-25.94,-14.00,16.51,39
-29.30,-15.16,17.85,38
-33.07,-16.14,19.25,34
-36.82,-16.55,20.92,38
-40.10,-16.03,21.79,37
-42.33,-14.66,21.66,33
-44.09,-13.26,22.02,31
-46.08,-12.08,22.95,33
-47.79,-11.30,23.67,33
-49.00,-11.14,23.87,28
-49.75,-11.30,23.42,29
-50.19,-11.15,23.26,29
-50.66,-10.74,23.83,26
-51.33,-10.50,24.56,25
-51.92,-10.40,24.84,25
-52.62,-10.16,25.64,24
-53.13,-9.82,26.04,25
-53.21,-9.37,26.06,28
-53.12,-8.90,26.31,25
